registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source
quay.io,opencloudio/iam-policy-controller,3.3.2,sha256:2d3029b7efc0f6dd841d61e0d454d0cdfca539aff01b57d462f11891dac32b2f,LIST,"","","",0,CASE
quay.io,opencloudio/iam-policy-controller,3.3.2-amd64,sha256:a0559a7062cc44ab3b8bb6c1803100dcf261443b64b9c2be13b1e1d0e9ec3a0e,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/iam-policy-controller,3.3.2-ppc64le,sha256:bb10a415291179d38f54c5d6d094b30810616818fe417e33a847a9475f8c2dc7,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/iam-policy-controller,3.3.2-s390x,sha256:5bce2464752358e25f7d392b63c4614b32b2e6f8783ed9dd99fa763163d92ae7,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/icp-secret-watcher,3.3.3,sha256:bfe42fc0463da7d30e5b83f8a5767314d991eb66c3e7a03532e20502d3c13190,LIST,"","","",0,CASE
quay.io,opencloudio/icp-secret-watcher,3.3.3-amd64,sha256:e2e160e7d6aee73b56e942993bd266ab79845e58048f0a56c4ad27bb86ddc4c8,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/icp-secret-watcher,3.3.3-ppc64le,sha256:04fd0d29a0e6e0da240b21a0cc963e3fc79d41384257ae438a70788634bd1f3c,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/icp-secret-watcher,3.3.3-s390x,sha256:8c2f6e736b28c6283d51c662f5c67e6b985381d86bcc0c7b77f3f36127775b27,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/icp-iam-onboarding,3.3.2,sha256:f8efc1d236be029376eb73ff57270695b94b33cceed8aee57f7fb5edc8c488e6,LIST,"","","",0,CASE
quay.io,opencloudio/icp-iam-onboarding,3.3.2-amd64,sha256:840f214b326272439b308f27dac697836a2b1d2e072f6b84a7591a85ce6e7fd6,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/icp-iam-onboarding,3.3.2-ppc64le,sha256:b7e9fa17ed06fa99165c10e10e87198a55f9746d37e83c90eb979fd0f4845e3f,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/icp-iam-onboarding,3.3.2-s390x,sha256:0719c69cf9d1ae552cfcb113d7dfb94b24fd81b9953a00d94c7fd164e288e177,IMAGE,linux,s390x,"",0,CASE
