registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source
quay.io,opencloudio/dashboard-controller,v1.2.0-build.4-s390x,sha256:87a3e035b45ea0837f8c0e0ec9889d9b0753ccc7e051aa63cea28b6dbb0cbd53,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/icp-initcontainer,1.0.0-build.4,sha256:9aad9fd724ec9308bec711d7738b5f0ae0c37a72ffb19a26dbcf622f1a603e89,LIST,"","","",0,CASE
quay.io,opencloudio/icp-initcontainer,1.0.0-build.4-ppc64le,sha256:dc5e40ea3e0e4decf2ded72891628fe5bed940ef7cb79e8e892321ba66e9a3f0,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/icp-initcontainer,1.0.0-build.4-amd64,sha256:61ebcd93062f6ea481cfa0b59eb9fb2708460040f82ce39baba46448b7f77da1,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/icp-initcontainer,1.0.0-build.4-s390x,sha256:d58aa1f2dce91528609097af057761f87317a0437e41570e3af2a3ada430cf0a,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/ibm-monitoring-prometheusext-operator,1.9.1,sha256:4f896453fa154813129c0992d40dc85359cde2b39275abb397c23c01114201ab,LIST,"","","",0,CASE
quay.io,opencloudio/ibm-monitoring-prometheusext-operator,1.9.1-ppc64le,sha256:bf70ab6032d4e1b516d703506d26d8384bb27af56298b58154598d9399bb6a3f,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/ibm-monitoring-prometheusext-operator,1.9.1-amd64,sha256:f1cd6f9ef71c093853f9168d5026e3a0c5efae3bc6d472a6b70b576ce584f860,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/ibm-monitoring-prometheusext-operator,1.9.1-s390x,sha256:367455eb383f1e44bbdb77bad0e6f56dfdd4b55b0afa910c694248337dfc93b2,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/alertmanager,v0.20.0-build.3,sha256:9b084bb932cadafbb085fa9236c7cc9cfab29740a09f63c9b77e1c722b041826,LIST,"","","",0,CASE
quay.io,opencloudio/alertmanager,v0.20.0-build.3-ppc64le,sha256:dd38bd3d931d4b954b3ed266d99f61ec63f14ca92df239d4affcdf4025c09615,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/alertmanager,v0.20.0-build.3-amd64,sha256:dab8f6884e029b4dfe3bf641f0191e0671daf2129d5d6d5649a54562d1c86691,IMAGE,linux,amd64,"",0,CASE
